"There is magic in misery. Just ask any runner.",Dean Karnazes
"As athletes we have ups and downs. Unfortunately you can’t pick the days they come on.",Leena Kastor
"Experience has taught me how important it is to just keep going, focusing on running fast and relaxed. Eventually pain passes and the flow returns. It’s part of racing.",Frank Shorter
"Get going … walk if you have to  but finish the damned race.",Ron Hill
"When it’s pouring rain and you’re bowling along through the wet, there’s satisfaction in knowing you’re out there and the others aren’t.",Peter Snell
"Run in the morning … before your brain figures out what your body is doing!", Anonymous
"We all know that if you run, you are pretty much choosing a life of success because of it.",Deena Kastor
"The obsession with running is really an obsession with the potential for more and more life.",George Sheehan
"It’s my own space, my own time, when I’m just out there letting my thoughts go. It’s part of my day like eating, and it’s one of my favorite parts.", Louise Kent
"Mental will is a muscle that needs exercise, just like the muscles of the body.",Lynn Jennings
"I breathe in strength and breathe out weakness, is my mantra during marathons—it calms me down and helps me focus.",Amy Hastings
"In any race, when the first half is all about pacing, the second half will be about passing." , Hayden Shearman
"There’s not one body type that equates to success. Accept the body you have and be the best you can be with it." , Mary Cullen
"I often hear someone say I’m not a real runner. We are all runners, some just run faster than others. I never met a fake runner.", Bart Yasso
"I always loved running…it was something you could do by yourself, and under your own power. You could go in any direction, fast or slow as you wanted, fighting the wind if you felt like it, seeking out new sights just on the strength of your feet and the courage of your lungs." , Jesse Owens
"The human spirit is indomitable. No one can ever say you must not run faster than this or jump higher than that. There will never be a time when the human spirit will not be able to better existing records." , Sir Roger Bannister
"There is magic in misery. Just ask any runner.", Dean Karnazes
"As athletes we have ups and downs. Unfortunately you can’t pick the days they come on." , Leena Kastor
"Experience has taught me how important it is to just keep going, focusing on running fast and relaxed. Eventually pain passes and the flow returns. It’s part of racing." , Frank Shorter
